code,name,official_class_code,official_class_name,primary_cluster,primary_cluster_name,cross_tags,official_note
080101,理论与应用力学,0801,力学类,engineering_mechanics_simulation,工程力学、仿真与基础建模类,仿真;力学;数学建模;工程分析,可授工学或理学学士学位
080102,工程力学,0801,力学类,engineering_mechanics_simulation,工程力学、仿真与基础建模类,仿真;力学;数学建模;工程分析,
080201,机械工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080202,机械设计制造及其自动化,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;自动化控制;机器人/智能装备;智能制造,
080203,材料成型及控制工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;自动化控制;机器人/智能装备;材料科学;工艺研发,
080204,机械电子工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;电子信息;半导体;信号处理;智能制造,
080205,工业设计,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备,
080206,过程装备与控制工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;自动化控制;机器人/智能装备;智能制造,
080207,车辆工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080208,汽车服务工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080209T,机械工艺技术,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080210T,微机电系统工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080211T,机电技术教育,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080212T,汽车维修工程教育,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080213T,智能制造工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080214T,智能车辆工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080215T,仿生科学与工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备,
080216T,新能源汽车工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造;能源电力;新能源,
080217T,增材制造工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造,
080218T,智能交互设计,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备,
080219T,应急装备技术与工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;智能制造;安全合规;公共安全,
080220T,农林智能装备工程,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备;自动化控制;机器人/智能装备;智能制造,
080221T,真空工程与技术,0802,机械类,mechanical_vehicle_manufacturing,机械、车辆与智能制造类,机械设计;制造;车辆;装备,
080301,测控技术与仪器,0803,仪器类,instrumentation_sensing_measurement,仪器、测控与智能感知类,测控;传感器;硬件;数据采集;自动化控制;机器人/智能装备,
080302T,精密仪器,0803,仪器类,instrumentation_sensing_measurement,仪器、测控与智能感知类,测控;传感器;硬件;数据采集,
080303T,智能感知工程,0803,仪器类,instrumentation_sensing_measurement,仪器、测控与智能感知类,测控;传感器;硬件;数据采集;自动化控制;机器人/智能装备,
080401,材料科学与工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080402,材料物理,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,可授工学或理学学士学位
080403,材料化学,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,可授工学或理学学士学位
080404,冶金工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080405,金属材料工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080406,无机非金属材料工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080407,高分子材料与工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080408,复合材料与工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080409T,粉体材料科学与工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080410T,宝石及材料工艺学,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080411T,焊接技术与工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺,
080412T,功能材料,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080413T,纳米材料与技术,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080414T,新能源材料与器件,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发;能源电力,
080415T,材料设计科学与工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080416T,复合材料成型工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080417T,智能材料与结构,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080418T,光电信息材料与器件,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;电子信息;信号处理;材料科学;工艺研发,
080419T,生物材料,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发;过程工程;质量安全,
080420T,材料智能技术,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080421T,电子信息材料,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;电子信息;信号处理;材料科学;工艺研发,
080422T,软物质科学与工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺,
080423T,稀土材料科学与工程,0804,材料类,materials_semiconductor_new_energy,材料、半导体材料与新能源材料类,材料;半导体;新能源;工艺;材料科学;工艺研发,
080501,能源与动力工程,0805,能源动力类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080502T,能源与环境系统工程,0805,能源动力类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力;安全合规;公共安全,
080503T,新能源科学与工程,0805,能源动力类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080504T,储能科学与工程,0805,能源动力类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080505T,能源服务工程,0805,能源动力类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080506TK,氢能科学与工程,0805,能源动力类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080507TK,可持续能源,0805,能源动力类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080508T,能源科学与工程,0805,能源动力类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080601,电气工程及其自动化,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;自动化控制;机器人/智能装备;能源电力,
080602T,智能电网信息工程,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080603T,光源与照明,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源,
080604T,电气工程与智能控制,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;自动化控制;机器人/智能装备;能源电力,
080605T,电机电器智能化,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;机械设计;智能制造;能源电力,
080606T,电缆工程,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源,
080607T,能源互联网工程,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080608TK,智慧能源工程,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;能源电力,
080609T,电动载运工程,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源,
